disease,name,n_terms,sum,mean_dist,max_dist,min_dist,std_dist
5343,SYNJ1 (OMIM:617389),70,12600.381222170849,5.217549160319192,8.915862472076086,0.0005412573883512041,1.6599575281983134
5344,SYP (OMIM:300802),7,71.58736326203179,3.4089220600967516,6.582045185161363,1.046009439364104,1.4357285092672496
5345,SYT1 (OMIM:618218),91,20504.193957149408,5.007129171465057,8.574468905653335,0.00037868868455093207,1.4806959255014756
5346,SYT14 (OMIM:614229),43,4474.956141688675,4.955654641958666,8.190454681701826,0.002871150469870118,1.5976661145719893
5347,SYT2 (OMIM:616040),50,6536.89074905257,5.336237346165363,9.072852201496532,0.00031792342844160594,1.7118248918405778
5348,SYT2 (OMIM:619461),142,51051.157549768934,5.0995062980490395,9.154622318330999,0.0001327613358585333,1.4989702308880926
5349,SZT2 (OMIM:615476),68,11028.909181824754,4.841487788333957,8.734375283829017,0.00011853325674116622,1.5714342121633365
5350,TAB2 (OMIM:614980),44,4843.641983915274,5.120128947056315,8.627109650497102,0.00012113826840601775,1.5596640090726226
5351,TAC3 (OMIM:614839),30,2194.2275287397406,5.044201215493657,8.773554522770949,0.0013598250934187413,1.8996851484401984
5352,TACO1 (OMIM:619052),57,7547.6667512857675,4.72911450581815,8.109653930835043,0.00022788042459846833,1.4394601325612777
5353,TACR3 (OMIM:614840),27,1754.9123923486943,4.999750405551835,8.699631570685783,0.00045166719225580687,1.9812293672949488
5354,TACSTD2 (OMIM:204870),18,686.2391600913419,4.485223268570862,8.168073796757856,0.7609453784098479,1.6952319526680102
5355,TAF1 (OMIM:300966),224,132849.18398363897,5.319073670068825,8.972676003191545,0.00011424600553125569,1.4423697471345072
5356,TAF1 (OMIM:314250),14,418.0019523536809,4.5934280478426475,8.133326524540859,0.000762189151311748,1.9499275176007618
5357,TAF13 (OMIM:617432),33,2278.5538145966,4.315442830675379,8.654536897737177,0.006897913965728082,1.5591607722882888
5358,TAF2 (OMIM:615599),79,14348.167531729776,4.656983944086263,8.666360412000444,0.002034046398408494,1.423387017949893
5359,TAF4 (OMIM:620450),284,216292.0129983834,5.382272756641203,9.013265320832058,0.00016194096168394945,1.4682922975744714
5360,TAF4B (OMIM:615841),26,1559.9998534845888,4.79999954918335,8.557226359697278,0.000803149581822378,1.808757958957914
5361,TAF6 (OMIM:617126),101,22496.519309800966,4.454756298970488,8.374135884458743,0.002093790532653398,1.2889609448540653
5362,TAF8 (OMIM:619972),63,9145.488705394555,4.682789915716618,8.789156748701284,0.0001018499913121344,1.534618252438722
5363,TAFAZZIN (OMIM:302060),128,42840.65575623005,5.270749970008619,9.212302466567023,0.0002615512942008121,1.6179603370629565
5364,TALDO1 (OMIM:606003),111,30245.706531427768,4.954251684099552,9.018628260155245,0.00015294580467822567,1.5032299317117321
5365,TAMM41 (OMIM:620139),61,9091.988380249724,4.968299661338647,8.70910413419511,0.00035005354757042197,1.5572542357436598
5366,TANC2 (OMIM:618906),86,17667.788571075514,4.833868282100004,8.51485323471509,0.011607258236768704,1.45451790932283
5367,TANGO2 (OMIM:616878),167,78288.51938147051,5.648114810004365,8.827450636843592,0.0001928074247934363,1.556058666463173
5368,TAOK1 (OMIM:619575),189,91815.2358054796,5.168030834486075,9.08184982722414,2.000000165480742e-10,1.4633831149691943
5369,TAPT1 (OMIM:616897),186,81464.20722066019,4.734914688791641,8.698780927701703,0.0001473428281572063,1.3491697312186561
5370,TARDBP (OMIM:612069),58,7750.040329261945,4.688469648676313,8.635548208043392,0.0029392195486610383,1.41535041781949
5371,TARS1 (OMIM:618546),16,531.8086681647341,4.431738901372784,8.092448222502933,0.001862257631737183,1.7371681090219144
5372,TARS2 (OMIM:615918),57,6989.533962917617,4.37940724493585,8.725635341483907,0.019538305154274842,1.479909775806271
5373,TASP1 (OMIM:618950),176,76409.36851784447,4.961647306353537,8.939945598133225,0.0001473428281572063,1.404923153629213
5374,TAT (OMIM:276600),28,1549.5481383624754,4.099333699371628,8.158872464657412,0.0016016313496482178,1.3649011281878607
5375,TBC1D20 (OMIM:615663),155,63416.15896778631,5.3134611619427154,8.928031774842259,0.00017449449899708947,1.4506441103335637
5376,TBC1D23 (OMIM:617695),141,50351.38421165824,5.101457366935992,8.795029463371854,2.000000165480742e-10,1.4369392669301146
5377,TBC1D24 (OMIM:220500),190,93028.77549605165,5.1812183512142385,8.94152655413711,2.000000165480742e-10,1.4455022028827227
5378,TBC1D24 (OMIM:605021),33,2889.598419318386,5.472724279012095,8.917978844599768,0.025418230699425857,1.8391557727790948
5379,TBC1D24 (OMIM:608105),39,4021.5818995999616,5.4272360318488015,8.540667695729933,0.00038324837629724227,1.7495643315094738
5380,TBC1D24 (OMIM:614617),5,36.198003799098124,3.6198003799098126,4.662535130851787,1.0324879018887914,1.0353674212367496
5381,TBC1D24 (OMIM:615338),64,9922.697031249882,4.9219727337549015,9.060746890807224,0.0454015306599506,1.5679234239009754
5382,TBC1D24 (OMIM:616044),8,114.70530398936731,4.096617999620261,7.86552714560394,0.4001991423628643,1.8804291122019319
5383,TBC1D2B (OMIM:619323),100,23079.13472022028,4.66245145863036,8.434144981225918,0.006897913965728082,1.4324525729723316
5384,TBC1D7 (OMIM:248000),111,30804.772594560724,5.0458267968158435,8.858841843383727,0.00018869251796236437,1.4842063039608069
5385,TBC1D8B (OMIM:301028),23,1146.2439531196383,4.530608510354301,8.083639940233253,0.0007165373026079224,1.7457907482840826
